x-axis,1,2,3
second,Volt,Volt,Volt
-10.5600E-06,+2.0000000000E+00,+12.4999993E-03,-1.3874998093E+00
-10.5500E-06,+1.3750000000E+00,+74.9999993E-03,-1.3874998093E+00
-10.5400E-06,+2.0000000000E+00,+12.4999993E-03,-1.3874998093E+00
-10.5300E-06,+2.0000000000E+00,-18.7500007E-03,-1.3249998093E+00
-10.5200E-06,+2.6250000000E+00,-18.7500007E-03,-1.3249998093E+00
-10.5100E-06,+2.0000000000E+00,-50.0000007E-03,-1.3249998093E+00
-10.5000E-06,+2.6250000000E+00,-50.0000007E-03,-1.3249998093E+00
-10.4900E-06,+2.6250000000E+00,-81.2500007E-03,-1.3249998093E+00
-10.4800E-06,+3.2500000000E+00,-50.0000007E-03,-1.2624998093E+00
-10.4700E-06,+3.2500000000E+00,-18.7500007E-03,-1.2624998093E+00
-10.4600E-06,+3.2500000000E+00,+12.4999993E-03,-1.2624998093E+00
-10.4500E-06,+2.6250000000E+00,-18.7500007E-03,-1.1999998093E+00
-10.4400E-06,+3.2500000000E+00,-18.7500007E-03,-1.2624998093E+00
-10.4300E-06,+3.2500000000E+00,-18.7500007E-03,-1.1999998093E+00
-10.4200E-06,+4.5000000000E+00,-18.7500007E-03,-1.2624998093E+00
-10.4100E-06,+3.2500000000E+00,+43.7499993E-03,-1.2624998093E+00
-10.4000E-06,+3.8750000000E+00,+12.4999993E-03,-1.2624998093E+00
-10.3900E-06,+3.8750000000E+00,-18.7500007E-03,-1.2624998093E+00
-10.3800E-06,+4.5000000000E+00,-18.7500007E-03,-1.1999998093E+00
-10.3700E-06,+4.5000000000E+00,+43.7499993E-03,-1.1999998093E+00
-10.3600E-06,+5.1250000000E+00,+12.4999993E-03,-1.1374998093E+00
-10.3500E-06,+5.1250000000E+00,+12.4999993E-03,-1.1374998093E+00
-10.3400E-06,+5.7500000000E+00,-18.7500007E-03,-1.1374998093E+00
-10.3300E-06,+6.3750000000E+00,-50.0000007E-03,-1.0749998093E+00
-10.3200E-06,+7.6250000000E+00,-50.0000007E-03,-1.0124998093E+00
-10.3100E-06,+7.6250000000E+00,-50.0000007E-03,-949.9998093E-03
-10.3000E-06,+9.5000000000E+00,-50.0000007E-03,-887.4998093E-03
-10.2900E-06,+10.1250000000E+00,-18.7500007E-03,-824.9998093E-03
-10.2800E-06,+11.3750000000E+00,-18.7500007E-03,-637.4998093E-03
-10.2700E-06,+12.0000000000E+00,-50.0000007E-03,-512.4998093E-03
-10.2600E-06,+13.2500000000E+00,-50.0000007E-03,-449.9998093E-03
-10.2500E-06,+13.8750000000E+00,-112.5000007E-03,-324.9998093E-03
-10.2400E-06,+15.1250000000E+00,-112.5000007E-03,-324.9998093E-03
-10.2300E-06,+16.3750000000E+00,-112.5000007E-03,-262.4998093E-03
-10.2200E-06,+17.0000000000E+00,-81.2500007E-03,-199.9998093E-03
-10.2100E-06,+18.2500000000E+00,-50.0000007E-03,-74.9998093E-03
-10.2000E-06,+18.8750000000E+00,-18.7500007E-03,-12.4998093E-03
-10.1900E-06,+20.1250000000E+00,+43.7499993E-03,+50.0001907E-03
-10.1800E-06,+21.3750000000E+00,+43.7499993E-03,+112.5001907E-03
-10.1700E-06,+22.0000000000E+00,+43.7499993E-03,+237.5001907E-03
-10.1600E-06,+22.6250000000E+00,+43.7499993E-03,+362.5001907E-03
-10.1500E-06,+23.8750000000E+00,+12.4999993E-03,+487.5001907E-03
-10.1400E-06,+25.1250000000E+00,-18.7500007E-03,+487.5001907E-03
-10.1300E-06,+25.7500000000E+00,-50.0000007E-03,+487.5001907E-03
-10.1200E-06,+26.3750000000E+00,-18.7500007E-03,+550.0001907E-03
-10.1100E-06,+28.2500000000E+00,-50.0000007E-03,+550.0001907E-03
-10.1000E-06,+29.5000000000E+00,-18.7500007E-03,+550.0001907E-03
-10.0900E-06,+29.5000000000E+00,-50.0000007E-03,+550.0001907E-03
-10.0800E-06,+30.7500000000E+00,-18.7500007E-03,+612.5001907E-03
-10.0700E-06,+32.0000000000E+00,-18.7500007E-03,+612.5001907E-03
-10.0600E-06,+33.2500000000E+00,-50.0000007E-03,+612.5001907E-03
-10.0500E-06,+34.5000000000E+00,-18.7500007E-03,+550.0001907E-03
-10.0400E-06,+35.1250000000E+00,-18.7500007E-03,+612.5001907E-03
-10.0300E-06,+36.3750000000E+00,+12.4999993E-03,+675.0001907E-03
-10.0200E-06,+37.6250000000E+00,+12.4999993E-03,+612.5001907E-03
-10.0100E-06,+38.2500000000E+00,+43.7499993E-03,+675.0001907E-03
-10.0000E-06,+39.5000000000E+00,+43.7499993E-03,+675.0001907E-03
-9.9900E-06,+40.7500000000E+00,+43.7499993E-03,+675.0001907E-03
-9.9800E-06,+41.3750000000E+00,+74.9999993E-03,+612.5001907E-03
-9.9700E-06,+42.6250000000E+00,+12.4999993E-03,+675.0001907E-03
-9.9600E-06,+43.2500000000E+00,-18.7500007E-03,+675.0001907E-03
-9.9500E-06,+44.5000000000E+00,-18.7500007E-03,+675.0001907E-03
-9.9400E-06,+45.7500000000E+00,-18.7500007E-03,+675.0001907E-03
-9.9300E-06,+46.3750000000E+00,+43.7499993E-03,+737.5001907E-03
-9.9200E-06,+48.2500000000E+00,+12.4999993E-03,+737.5001907E-03
-9.9100E-06,+48.8750000000E+00,+12.4999993E-03,+675.0001907E-03
-9.9000E-06,+49.5000000000E+00,-18.7500007E-03,+800.0001907E-03
-9.8900E-06,+50.7500000000E+00,-81.2500007E-03,+737.5001907E-03
-9.8800E-06,+52.0000000000E+00,-50.0000007E-03,+800.0001907E-03
-9.8700E-06,+52.6250000000E+00,-18.7500007E-03,+737.5001907E-03
-9.8600E-06,+53.8750000000E+00,-50.0000007E-03,+737.5001907E-03
-9.8500E-06,+54.5000000000E+00,-18.7500007E-03,+737.5001907E-03
-9.8400E-06,+55.7500000000E+00,-50.0000007E-03,+737.5001907E-03
-9.8300E-06,+56.3750000000E+00,+74.9999993E-03,+737.5001907E-03
-9.8200E-06,+57.0000000000E+00,+137.4999993E-03,+675.0001907E-03
-9.8100E-06,+58.2500000000E+00,+106.2499993E-03,+737.5001907E-03
-9.8000E-06,+59.5000000000E+00,+43.7499993E-03,+737.5001907E-03
-9.7900E-06,+60.1250000000E+00,+74.9999993E-03,+675.0001907E-03
-9.7800E-06,+60.7500000000E+00,+74.9999993E-03,+737.5001907E-03
-9.7700E-06,+62.0000000000E+00,+43.7499993E-03,+737.5001907E-03
-9.7600E-06,+62.6250000000E+00,+74.9999993E-03,+737.5001907E-03
-9.7500E-06,+62.6250000000E+00,+106.2499993E-03,+800.0001907E-03
-9.7400E-06,+64.5000000000E+00,+106.2499993E-03,+800.0001907E-03
-9.7300E-06,+64.5000000000E+00,+137.4999993E-03,+737.5001907E-03
-9.7200E-06,+65.7500000000E+00,+106.2499993E-03,+800.0001907E-03
-9.7100E-06,+65.7500000000E+00,+74.9999993E-03,+862.5001907E-03
-9.7000E-06,+67.0000000000E+00,+43.7499993E-03,+862.5001907E-03
-9.6900E-06,+67.6250000000E+00,+12.4999993E-03,+800.0001907E-03
-9.6800E-06,+67.6250000000E+00,+12.4999993E-03,+862.5001907E-03
-9.6700E-06,+68.2500000000E+00,+12.4999993E-03,+800.0001907E-03
-9.6600E-06,+68.8750000000E+00,+43.7499993E-03,+862.5001907E-03
-9.6500E-06,+69.5000000000E+00,+106.2499993E-03,+800.0001907E-03
-9.6400E-06,+69.5000000000E+00,+168.7499993E-03,+737.5001907E-03
-9.6300E-06,+69.5000000000E+00,+199.9999993E-03,+800.0001907E-03
-9.6200E-06,+70.1250000000E+00,+231.2499993E-03,+800.0001907E-03
-9.6100E-06,+69.5000000000E+00,+199.9999993E-03,+862.5001907E-03
-9.6000E-06,+70.1250000000E+00,+199.9999993E-03,+862.5001907E-03
-9.5900E-06,+70.1250000000E+00,+199.9999993E-03,+800.0001907E-03
-9.5800E-06,+70.7500000000E+00,+199.9999993E-03,+800.0001907E-03
-9.5700E-06,+70.7500000000E+00,+231.2499993E-03,+800.0001907E-03
-9.5600E-06,+70.1250000000E+00,+231.2499993E-03,+800.0001907E-03
-9.5500E-06,+70.1250000000E+00,+262.4999993E-03,+800.0001907E-03
-9.5400E-06,+70.1250000000E+00,+231.2499993E-03,+862.5001907E-03
-9.5300E-06,+70.1250000000E+00,+231.2499993E-03,+800.0001907E-03
-9.5200E-06,+69.5000000000E+00,+199.9999993E-03,+862.5001907E-03
-9.5100E-06,+68.8750000000E+00,+168.7499993E-03,+800.0001907E-03
-9.5000E-06,+68.8750000000E+00,+168.7499993E-03,+862.5001907E-03
-9.4900E-06,+68.2500000000E+00,+199.9999993E-03,+862.5001907E-03
-9.4800E-06,+65.7500000000E+00,+199.9999993E-03,+862.5001907E-03
-9.4700E-06,+63.2500000000E+00,+293.7499993E-03,+862.5001907E-03
-9.4600E-06,+60.7500000000E+00,+324.9999993E-03,+800.0001907E-03
-9.4500E-06,+58.8750000000E+00,+387.4999993E-03,+800.0001907E-03
-9.4400E-06,+56.3750000000E+00,+356.2499993E-03,+862.5001907E-03
-9.4300E-06,+54.5000000000E+00,+387.4999993E-03,+862.5001907E-03
-9.4200E-06,+52.0000000000E+00,+418.7499993E-03,+800.0001907E-03
-9.4100E-06,+50.7500000000E+00,+418.7499993E-03,+800.0001907E-03
-9.4000E-06,+48.8750000000E+00,+418.7499993E-03,+800.0001907E-03
-9.3900E-06,+47.6250000000E+00,+481.2499993E-03,+862.5001907E-03
-9.3800E-06,+46.3750000000E+00,+449.9999993E-03,+862.5001907E-03
-9.3700E-06,+45.7500000000E+00,+481.2499993E-03,+737.5001907E-03
-9.3600E-06,+45.7500000000E+00,+449.9999993E-03,+800.0001907E-03
-9.3500E-06,+45.7500000000E+00,+481.2499993E-03,+862.5001907E-03
-9.3400E-06,+45.1250000000E+00,+418.7499993E-03,+800.0001907E-03
-9.3300E-06,+45.1250000000E+00,+481.2499993E-03,+800.0001907E-03
-9.3200E-06,+43.8750000000E+00,+387.4999993E-03,+800.0001907E-03
-9.3100E-06,+42.6250000000E+00,+449.9999993E-03,+862.5001907E-03
-9.3000E-06,+40.1250000000E+00,+449.9999993E-03,+862.5001907E-03
-9.2900E-06,+39.5000000000E+00,+512.4999993E-03,+800.0001907E-03
-9.2800E-06,+39.5000000000E+00,+606.2499993E-03,+862.5001907E-03
-9.2700E-06,+37.6250000000E+00,+606.2499993E-03,+800.0001907E-03
-9.2600E-06,+36.3750000000E+00,+606.2499993E-03,+800.0001907E-03
-9.2500E-06,+35.1250000000E+00,+606.2499993E-03,+737.5001907E-03
-9.2400E-06,+34.5000000000E+00,+574.9999993E-03,+862.5001907E-03
-9.2300E-06,+33.2500000000E+00,+574.9999993E-03,+800.0001907E-03
-9.2200E-06,+32.0000000000E+00,+543.7499993E-03,+800.0001907E-03
-9.2100E-06,+31.3750000000E+00,+574.9999993E-03,+800.0001907E-03
-9.2000E-06,+30.7500000000E+00,+574.9999993E-03,+737.5001907E-03
