x-axis,1,2
second,Volt,Volt
-120.82000E-06,+362.49995231E-03,+700.00004768E-03
-120.80000E-06,+299.99995232E-03,+575.00004770E-03
-120.78000E-06,+362.49995231E-03,+637.50004768E-03
-120.76000E-06,+299.99995232E-03,+575.00004769E-03
-120.74000E-06,+299.99995232E-03,+637.50004768E-03
-120.72000E-06,+299.99995232E-03,+637.50004768E-03
-120.70000E-06,+362.49995231E-03,+637.50004768E-03
-120.68000E-06,+362.49995232E-03,+575.00004769E-03
-120.66000E-06,+549.99995230E-03,+700.00004767E-03
-120.64000E-06,+5.04999995189E+00,+6.20000004716E+00
-120.62000E-06,+4.98749995232E+00,+8.95000004742E+00
-120.60000E-06,+5.48749995227E+00,+9.82500004760E+00
-120.58000E-06,+6.04999995226E+00,+10.07500004766E+00
-120.56000E-06,+5.79999995234E+00,+10.07500004768E+00
-120.54000E-06,+6.36249995226E+00,+10.07500004768E+00
-120.52000E-06,+6.73749995228E+00,+10.13750004768E+00
-120.50000E-06,+7.04999995229E+00,+10.13750004768E+00
-120.48000E-06,+6.79999995234E+00,+10.07500004769E+00
-120.46000E-06,+7.61249995224E+00,+10.07500004768E+00
-120.44000E-06,+7.73749995230E+00,+10.13750004768E+00
-120.42000E-06,+7.79999995231E+00,+10.07500004769E+00
-120.40000E-06,+7.92499995230E+00,+10.07500004768E+00
-120.38000E-06,+8.42499995227E+00,+10.07500004768E+00
-120.36000E-06,+8.42499995232E+00,+10.13750004768E+00
-120.34000E-06,+8.48749995231E+00,+10.13750004768E+00
-120.32000E-06,+8.61249995230E+00,+10.13750004768E+00
-120.30000E-06,+8.79999995230E+00,+10.13750004768E+00
-120.28000E-06,+8.86249995231E+00,+10.20000004768E+00
-120.26000E-06,+8.86249995232E+00,+10.07500004770E+00
-120.24000E-06,+9.04999995230E+00,+10.13750004768E+00
-120.22000E-06,+9.11249995231E+00,+10.07500004769E+00
-120.20000E-06,+9.11249995232E+00,+10.13750004768E+00
-120.18000E-06,+9.11249995232E+00,+10.13750004768E+00
-120.16000E-06,+9.29999995230E+00,+10.13750004768E+00
-120.14000E-06,+9.36249995231E+00,+10.13750004768E+00
-120.12000E-06,+9.29999995232E+00,+10.13750004768E+00
-120.10000E-06,+9.29999995232E+00,+10.07500004769E+00
-120.08000E-06,+9.36249995231E+00,+10.13750004768E+00
-120.06000E-06,+9.36249995232E+00,+10.07500004769E+00
-120.04000E-06,+9.42499995231E+00,+10.13750004768E+00
-120.02000E-06,+9.42499995232E+00,+10.07500004769E+00
